unused,R2 threshold,width V,slope mV per decade,i0 A,residual A per V,start V,Tafel R2,LSV R2,reported end V
0.000000000000000000e+00,9.020000000000000240e-01,4.399999999999997663e-02,4.125952608795306276e+01,5.038507877067236052e-08,1.132187584798889619e-04,4.099935333200011023e-02,9.246629973538408320e-01,9.554552581762654206e-01,8.499935333200009380e-02
0.000000000000000000e+00,9.020000000000000240e-01,4.499999999999997058e-02,4.176010969439672493e+01,5.235496827390365881e-08,1.142419464322124329e-04,4.099935333200011023e-02,9.250234713260303554e-01,9.573333937483727851e-01,8.599935333200008081e-02
0.000000000000000000e+00,9.020000000000000240e-01,4.599999999999997147e-02,4.214171740151421375e+01,5.388421455502065812e-08,1.162682537036186252e-04,4.099935333200011023e-02,9.265588819875776316e-01,9.562468922791292902e-01,8.699935333200008170e-02
0.000000000000000000e+00,9.020000000000000240e-01,4.699999999999997236e-02,4.246518073455545306e+01,5.520066365111328113e-08,1.188108426971869701e-04,4.099935333200011023e-02,9.284922479902841808e-01,9.531077564517937972e-01,8.799935333200008258e-02
0.000000000000000000e+00,9.020000000000000240e-01,4.799999999999996630e-02,4.282782526646322196e+01,5.669894902863841950e-08,1.209816338263345698e-04,4.099935333200011023e-02,9.299487827909099780e-01,9.519042697799212638e-01,8.899935333200006959e-02
0.000000000000000000e+00,9.020000000000000240e-01,4.899999999999996719e-02,4.322543446428550595e+01,5.836794593929674155e-08,1.228230294537877292e-04,4.099935333200011023e-02,9.309721393999226269e-01,9.519472155548428516e-01,8.999935333200007048e-02
0.000000000000000000e+00,9.030000000000000249e-01,1.000000000000000021e-02,4.242572126445568159e+01,6.262483910410014233e-08,9.788161311477103688e-05,4.999741250000000470e-02,9.273912856106123481e-01,9.467382104637797058e-01,5.999741250000000664e-02
0.000000000000000000e+00,9.030000000000000249e-01,1.099999999999999936e-02,4.378209003539783595e+01,7.037015438717863142e-08,9.239879191432306309e-05,4.899757395999992937e-02,9.095556220712358586e-01,9.247131690466977583e-01,5.999757395999992526e-02
0.000000000000000000e+00,9.030000000000000249e-01,1.199999999999999852e-02,4.431481500374508187e+01,7.327110055039001854e-08,8.693241562035958073e-05,4.799805978899995829e-02,9.067192220513076162e-01,9.176522115892048470e-01,5.999805978899995507e-02
0.000000000000000000e+00,9.030000000000000249e-01,1.299999999999999767e-02,4.340427059637917040e+01,6.860815903505400428e-08,8.453567518797263280e-05,4.699838312300008702e-02,9.095944076399569145e-01,9.125435344102219570e-01,5.999838312300008469e-02
0.000000000000000000e+00,9.030000000000000249e-01,1.399999999999999682e-02,4.377120224367934753e+01,7.030686204754930410e-08,8.564220810635932504e-05,4.699838312300008702e-02,9.170779001729770785e-01,9.222089764633810693e-01,6.099838312300008558e-02
0.000000000000000000e+00,9.030000000000000249e-01,1.499999999999999598e-02,4.374991421413630377e+01,7.020735853175892273e-08,8.836076420983915588e-05,4.699838312300008702e-02,9.253634847561800214e-01,9.273945191349288741e-01,6.199838312300008647e-02
0.000000000000000000e+00,9.030000000000000249e-01,1.599999999999999339e-02,4.420884141823012214e+01,7.237530355562581868e-08,8.919788602587049053e-05,4.699838312300008702e-02,9.304128711683055108e-01,9.348748858369645420e-01,6.299838312300007348e-02
0.000000000000000000e+00,9.030000000000000249e-01,1.699999999999999428e-02,4.461311301327636869e+01,7.431361413810615676e-08,9.030708766292531412e-05,4.699838312300008702e-02,9.351893198053172762e-01,9.411169551151323809e-01,6.399838312300007437e-02
0.000000000000000000e+00,9.030000000000000249e-01,1.799999999999999517e-02,4.473737412816945636e+01,7.491614761367192706e-08,9.265918038690491181e-05,4.699838312300008702e-02,9.407180616604140511e-01,9.438397623166847605e-01,6.499838312300007526e-02
0.000000000000000000e+00,9.030000000000000249e-01,1.899999999999999259e-02,4.467967064534995814e+01,7.463450636871746632e-08,9.593048344500491951e-05,4.699838312300008702e-02,9.460921759555996902e-01,9.425641064320471330e-01,6.599838312300007614e-02
0.000000000000000000e+00,9.030000000000000249e-01,1.999999999999999001e-02,4.126256549259398554e+01,5.619803557578030003e-08,9.395018565161825802e-05,4.599919166499999434e-02,9.034226469614152766e-01,9.491044217915917125e-01,6.599919166499998435e-02
0.000000000000000000e+00,9.030000000000000249e-01,2.099999999999999090e-02,4.141113121063663272e+01,5.683158583275676181e-08,9.695435958738434423e-05,4.599919166499999434e-02,9.107341578553593830e-01,9.477378806664991107e-01,6.699919166499998524e-02
0.000000000000000000e+00,9.030000000000000249e-01,2.199999999999999178e-02,3.968627701899802673e+01,4.855068359435736512e-08,9.371485404249913311e-05,4.499902979099990041e-02,9.053928164968171322e-01,9.527287704724242134e-01,6.699902979099989220e-02
0.000000000000000000e+00,9.030000000000000249e-01,2.299999999999998920e-02,3.990553225431448681e+01,4.941462648323776507e-08,9.656336453389297036e-05,4.499902979099990041e-02,9.118719432449626794e-01,9.510415668839929948e-01,6.799902979099989309e-02
0.000000000000000000e+00,9.030000000000000249e-01,2.399999999999998662e-02,3.804487505830875449e+01,4.119201462148721141e-08,9.346700374419380261e-05,4.399919166499999257e-02,9.047884862187620669e-01,9.559448291883092530e-01,6.799919166499998613e-02
0.000000000000000000e+00,9.030000000000000249e-01,2.499999999999998751e-02,3.832577145771313099e+01,4.220303977910598706e-08,9.617577276239722378e-05,4.399919166499999257e-02,9.105647617854506493e-01,9.539973402581589657e-01,6.899919166499998702e-02
0.000000000000000000e+00,9.030000000000000249e-01,2.599999999999998840e-02,3.868995682454450957e+01,4.353626105287416630e-08,9.833234579486158273e-05,4.399919166499999257e-02,9.151240992615329306e-01,9.545296692177915876e-01,6.999919166499998791e-02
0.000000000000000000e+00,9.030000000000000249e-01,2.699999999999998929e-02,3.948664210782968809e+01,4.652698774051438132e-08,9.786226558666144733e-05,4.399919166499999257e-02,9.144285231672135694e-01,9.576487881699150551e-01,7.099919166499998879e-02
0.000000000000000000e+00,9.030000000000000249e-01,2.799999999999998324e-02,4.017574615466703136e+01,4.919083313236308904e-08,9.803684046970564004e-05,4.399919166499999257e-02,9.150978770287875319e-01,9.609872897543012549e-01,7.199919166499997580e-02
0.000000000000000000e+00,9.030000000000000249e-01,2.899999999999998412e-02,4.056670567049172860e+01,5.073606550437951556e-08,1.000202301478108241e-04,4.399919166499999257e-02,9.187338036385827023e-01,9.607933833517712241e-01,7.299919166499997669e-02
0.000000000000000000e+00,9.030000000000000249e-01,2.999999999999998501e-02,4.096843422189279238e+01,5.235195305385767619e-08,1.019136070305990435e-04,4.399919166499999257e-02,9.219484659930824444e-01,9.608833656467689055e-01,7.399919166499997758e-02
0.000000000000000000e+00,9.030000000000000249e-01,3.099999999999998590e-02,4.147229660995456868e+01,5.441725643271250425e-08,1.031294350814890602e-04,4.399919166499999257e-02,9.239384413139832830e-01,9.627136545768126830e-01,7.499919166499997847e-02
0.000000000000000000e+00,9.030000000000000249e-01,3.199999999999997985e-02,3.572133581658273016e+01,3.133521503616892365e-08,9.511327920918007735e-05,4.099935333200011023e-02,9.045032737602276551e-01,9.548494712679660434e-01,7.299935333200008314e-02
0.000000000000000000e+00,9.030000000000000249e-01,3.299999999999998074e-02,3.643530764828157942e+01,3.351878645381206466e-08,9.490800310453138215e-05,4.099935333200011023e-02,9.037255052726705928e-01,9.579774527190488831e-01,7.399935333200008403e-02
0.000000000000000000e+00,9.030000000000000249e-01,3.399999999999998163e-02,3.707295575564112511e+01,3.553212264927838453e-08,9.523436290819389653e-05,4.099935333200011023e-02,9.040759949248003968e-01,9.610404062647897039e-01,7.499935333200008492e-02
0.000000000000000000e+00,9.030000000000000249e-01,3.499999999999998251e-02,3.749291030492931043e+01,3.689226609477241460e-08,9.709630921236019128e-05,4.099935333200011023e-02,9.070814117974652646e-01,9.605159937607679055e-01,7.599935333200008580e-02
0.000000000000000000e+00,9.030000000000000249e-01,3.599999999999997646e-02,3.791879475190287252e+01,3.830104771712397239e-08,9.888968940343305760e-05,4.099935333200011023e-02,9.097620312363626782e-01,9.602764228309936811e-01,7.699935333200008669e-02
0.000000000000000000e+00,9.030000000000000249e-01,3.699999999999997735e-02,3.841893906669860570e+01,3.999241202719708710e-08,1.001071520102393795e-04,4.099935333200011023e-02,9.113624779545891341e-01,9.617608730750702994e-01,7.799935333200008758e-02
0.000000000000000000e+00,9.030000000000000249e-01,3.799999999999997824e-02,3.888541533674764850e+01,4.160544261212235152e-08,1.015615036756797353e-04,4.099935333200011023e-02,9.131946386615613642e-01,9.624128417781249167e-01,7.899935333200008847e-02
0.000000000000000000e+00,9.030000000000000249e-01,3.899999999999997913e-02,3.915369632075775286e+01,4.255002167749350326e-08,1.045878376839009573e-04,4.099935333200011023e-02,9.167824486804064810e-01,9.557042954575584170e-01,7.999935333200008936e-02
0.000000000000000000e+00,9.030000000000000249e-01,3.999999999999997308e-02,3.955562686063231581e+01,4.398913918899933403e-08,1.064840235303467035e-04,4.099935333200011023e-02,9.188832922410421489e-01,9.554600672264792482e-01,8.099935333200009024e-02
0.000000000000000000e+00,9.030000000000000249e-01,4.099999999999997397e-02,4.005004881833441743e+01,4.579538400456420141e-08,1.076286877584582371e-04,4.099935333200011023e-02,9.198057057015263105e-01,9.573138205462504713e-01,8.199935333200009113e-02
0.000000000000000000e+00,9.030000000000000249e-01,4.199999999999997485e-02,4.047084451441108399e+01,4.736369864742006059e-08,1.093555539378034358e-04,4.099935333200011023e-02,9.214291414608520858e-01,9.574040880642505913e-01,8.299935333200009202e-02
0.000000000000000000e+00,9.030000000000000249e-01,4.299999999999997574e-02,4.078794983774824345e+01,4.856580186661057760e-08,1.119542589960044720e-04,4.099935333200011023e-02,9.238913872387626292e-01,9.538683859129744036e-01,8.399935333200009291e-02
0.000000000000000000e+00,9.030000000000000249e-01,4.399999999999997663e-02,4.125952608795306276e+01,5.038507877067236052e-08,1.132187584798889619e-04,4.099935333200011023e-02,9.246629973538408320e-01,9.554552581762654206e-01,8.499935333200009380e-02
0.000000000000000000e+00,9.030000000000000249e-01,4.499999999999997058e-02,4.176010969439672493e+01,5.235496827390365881e-08,1.142419464322124329e-04,4.099935333200011023e-02,9.250234713260303554e-01,9.573333937483727851e-01,8.599935333200008081e-02
0.000000000000000000e+00,9.030000000000000249e-01,4.599999999999997147e-02,4.214171740151421375e+01,5.388421455502065812e-08,1.162682537036186252e-04,4.099935333200011023e-02,9.265588819875776316e-01,9.562468922791292902e-01,8.699935333200008170e-02
0.000000000000000000e+00,9.030000000000000249e-01,4.699999999999997236e-02,4.246518073455545306e+01,5.520066365111328113e-08,1.188108426971869701e-04,4.099935333200011023e-02,9.284922479902841808e-01,9.531077564517937972e-01,8.799935333200008258e-02
0.000000000000000000e+00,9.030000000000000249e-01,4.799999999999996630e-02,4.282782526646322196e+01,5.669894902863841950e-08,1.209816338263345698e-04,4.099935333200011023e-02,9.299487827909099780e-01,9.519042697799212638e-01,8.899935333200006959e-02
0.000000000000000000e+00,9.030000000000000249e-01,4.899999999999996719e-02,4.322543446428550595e+01,5.836794593929674155e-08,1.228230294537877292e-04,4.099935333200011023e-02,9.309721393999226269e-01,9.519472155548428516e-01,8.999935333200007048e-02
0.000000000000000000e+00,9.040000000000000258e-01,1.000000000000000021e-02,4.242572126445568159e+01,6.262483910410014233e-08,9.788161311477103688e-05,4.999741250000000470e-02,9.273912856106123481e-01,9.467382104637797058e-01,5.999741250000000664e-02
0.000000000000000000e+00,9.040000000000000258e-01,1.099999999999999936e-02,4.378209003539783595e+01,7.037015438717863142e-08,9.239879191432306309e-05,4.899757395999992937e-02,9.095556220712358586e-01,9.247131690466977583e-01,5.999757395999992526e-02
0.000000000000000000e+00,9.040000000000000258e-01,1.199999999999999852e-02,4.431481500374508187e+01,7.327110055039001854e-08,8.693241562035958073e-05,4.799805978899995829e-02,9.067192220513076162e-01,9.176522115892048470e-01,5.999805978899995507e-02
0.000000000000000000e+00,9.040000000000000258e-01,1.299999999999999767e-02,4.340427059637917040e+01,6.860815903505400428e-08,8.453567518797263280e-05,4.699838312300008702e-02,9.095944076399569145e-01,9.125435344102219570e-01,5.999838312300008469e-02
0.000000000000000000e+00,9.040000000000000258e-01,1.399999999999999682e-02,4.377120224367934753e+01,7.030686204754930410e-08,8.564220810635932504e-05,4.699838312300008702e-02,9.170779001729770785e-01,9.222089764633810693e-01,6.099838312300008558e-02
0.000000000000000000e+00,9.040000000000000258e-01,1.499999999999999598e-02,4.374991421413630377e+01,7.020735853175892273e-08,8.836076420983915588e-05,4.699838312300008702e-02,9.253634847561800214e-01,9.273945191349288741e-01,6.199838312300008647e-02
0.000000000000000000e+00,9.040000000000000258e-01,1.599999999999999339e-02,4.420884141823012214e+01,7.237530355562581868e-08,8.919788602587049053e-05,4.699838312300008702e-02,9.304128711683055108e-01,9.348748858369645420e-01,6.299838312300007348e-02
0.000000000000000000e+00,9.040000000000000258e-01,1.699999999999999428e-02,4.461311301327636869e+01,7.431361413810615676e-08,9.030708766292531412e-05,4.699838312300008702e-02,9.351893198053172762e-01,9.411169551151323809e-01,6.399838312300007437e-02
0.000000000000000000e+00,9.040000000000000258e-01,1.799999999999999517e-02,4.473737412816945636e+01,7.491614761367192706e-08,9.265918038690491181e-05,4.699838312300008702e-02,9.407180616604140511e-01,9.438397623166847605e-01,6.499838312300007526e-02
0.000000000000000000e+00,9.040000000000000258e-01,1.899999999999999259e-02,4.467967064534995814e+01,7.463450636871746632e-08,9.593048344500491951e-05,4.699838312300008702e-02,9.460921759555996902e-01,9.425641064320471330e-01,6.599838312300007614e-02
0.000000000000000000e+00,9.040000000000000258e-01,1.999999999999999001e-02,4.479080183638290436e+01,7.518042065467706261e-08,9.847626225379902353e-05,4.699838312300008702e-02,9.504619794183337689e-01,9.442574394841802832e-01,6.699838312300007703e-02
0.000000000000000000e+00,9.040000000000000258e-01,2.099999999999999090e-02,4.141113121063663272e+01,5.683158583275676181e-08,9.695435958738434423e-05,4.599919166499999434e-02,9.107341578553593830e-01,9.477378806664991107e-01,6.699919166499998524e-02
0.000000000000000000e+00,9.040000000000000258e-01,2.199999999999999178e-02,3.968627701899802673e+01,4.855068359435736512e-08,9.371485404249913311e-05,4.499902979099990041e-02,9.053928164968171322e-01,9.527287704724242134e-01,6.699902979099989220e-02
0.000000000000000000e+00,9.040000000000000258e-01,2.299999999999998920e-02,3.990553225431448681e+01,4.941462648323776507e-08,9.656336453389297036e-05,4.499902979099990041e-02,9.118719432449626794e-01,9.510415668839929948e-01,6.799902979099989309e-02
0.000000000000000000e+00,9.040000000000000258e-01,2.399999999999998662e-02,3.804487505830875449e+01,4.119201462148721141e-08,9.346700374419380261e-05,4.399919166499999257e-02,9.047884862187620669e-01,9.559448291883092530e-01,6.799919166499998613e-02
0.000000000000000000e+00,9.040000000000000258e-01,2.499999999999998751e-02,3.832577145771313099e+01,4.220303977910598706e-08,9.617577276239722378e-05,4.399919166499999257e-02,9.105647617854506493e-01,9.539973402581589657e-01,6.899919166499998702e-02
0.000000000000000000e+00,9.040000000000000258e-01,2.599999999999998840e-02,3.868995682454450957e+01,4.353626105287416630e-08,9.833234579486158273e-05,4.399919166499999257e-02,9.151240992615329306e-01,9.545296692177915876e-01,6.999919166499998791e-02
0.000000000000000000e+00,9.040000000000000258e-01,2.699999999999998929e-02,3.948664210782968809e+01,4.652698774051438132e-08,9.786226558666144733e-05,4.399919166499999257e-02,9.144285231672135694e-01,9.576487881699150551e-01,7.099919166499998879e-02
0.000000000000000000e+00,9.040000000000000258e-01,2.799999999999998324e-02,4.017574615466703136e+01,4.919083313236308904e-08,9.803684046970564004e-05,4.399919166499999257e-02,9.150978770287875319e-01,9.609872897543012549e-01,7.199919166499997580e-02
0.000000000000000000e+00,9.040000000000000258e-01,2.899999999999998412e-02,4.056670567049172860e+01,5.073606550437951556e-08,1.000202301478108241e-04,4.399919166499999257e-02,9.187338036385827023e-01,9.607933833517712241e-01,7.299919166499997669e-02
