Time,Potential
sec,V
1,-0.3079
2,-0.3079
3,-0.3079
4,-0.3079
5,-0.3079
6,-0.3078
7,-0.3078
8,-0.3078
9,-0.3077
10,-0.3077
11,-0.3076
12,-0.3076
13,-0.3076
14,-0.3075
15,-0.3075
16,-0.3074
17,-0.3074
18,-0.3074
19,-0.3073
20,-0.3073
21,-0.3073
22,-0.3072
23,-0.3072
24,-0.3071
25,-0.3071
26,-0.3071
27,-0.307
28,-0.307
29,-0.3069
30,-0.3069
31,-0.3069
32,-0.3068
33,-0.3068
34,-0.3068
35,-0.3067
36,-0.3067
37,-0.3067
38,-0.3066
39,-0.3066
40,-0.3065
41,-0.3065
42,-0.3064
43,-0.3064
44,-0.3012
45,-0.3063
46,-0.3063
47,-0.3062
48,-0.3062
49,-0.3062
50,-0.3061
51,-0.3061
52,-0.306
53,-0.306
54,-0.306
55,-0.3059
56,-0.3059
57,-0.3059
58,-0.3058
59,-0.3058
60,-0.3058
61,-0.3057
62,-0.3057
63,-0.3057
64,-0.3056
65,-0.3056
66,-0.3056
67,-0.3055
68,-0.3055
69,-0.3055
70,-0.3055
71,-0.3055
72,-0.3055
73,-0.3055
74,-0.3054
75,-0.3054
76,-0.3055
77,-0.3055
78,-0.3054
79,-0.3055
80,-0.3056
81,-0.3056
82,-0.3056
83,-0.3056
84,-0.3056
85,-0.3056
86,-0.3055
87,-0.3055
88,-0.3055
89,-0.3055
90,-0.3054
91,-0.3054
92,-0.3054
93,-0.3054
94,-0.3053
95,-0.3053
96,-0.3053
97,-0.3052
98,-0.3052
99,-0.3052
100,-0.3051
101,-0.3051
102,-0.3051
103,-0.305
104,-0.305
105,-0.305
106,-0.3049
107,-0.3049
108,-0.3049
109,-0.3048
110,-0.3048
111,-0.3047
112,-0.3047
113,-0.3047
114,-0.3047
115,-0.3046
116,-0.3046
117,-0.3045
118,-0.3045
119,-0.3045
120,-0.3044
121,-0.3044
122,-0.3044
123,-0.3043
124,-0.3043
125,-0.3043
126,-0.3042
127,-0.3042
128,-0.3041
129,-0.3041
130,-0.3041
131,-0.304
132,-0.304
133,-0.304
134,-0.3039
135,-0.3039
136,-0.3038
137,-0.3038
138,-0.3037
139,-0.3037
140,-0.3037
141,-0.3036
142,-0.3036
143,-0.3035
144,-0.3035
145,-0.3034
146,-0.3034
147,-0.3034
148,-0.3033
149,-0.3033
150,-0.3032
151,-0.3032
152,-0.3032
153,-0.3031
154,-0.3031
155,-0.303
156,-0.303
157,-0.303
