,R2 threshold,Overpotential Fit Width / V,Tafel slope / mV Decade-1,Exchange Current / A,Optimal Residual,Starting Fit Potential / V,Tafel R2,LSV R2,Ending Fit Potential
342,0.908,0.03199999999999998,21.01421979292787,6.973550800903466e-06,0.006217749556489457,0.0019883,0.9244340741263116,0.9347584305692485,0.03398829999999998
343,0.908,0.03299999999999998,21.309875128339847,7.113632350734235e-06,0.006376705904519262,0.0019883,0.9250047088845921,0.9343429548520116,0.03498829999999998
344,0.908,0.03399999999999998,21.84855736821711,7.3733985708665275e-06,0.006748053014371404,0.0019883,0.9268456575743865,0.9299049866919942,0.03598829999999998
345,0.908,0.03499999999999998,22.1275010223494,7.510052125408214e-06,0.0069052833025557035,0.0019883,0.9272967771213304,0.9300054966878464,0.03698829999999998
346,0.908,0.035999999999999976,22.393965233034237,7.642606282148606e-06,0.0070895191595421545,0.0019883,0.9279995428874632,0.9284143721834519,0.037988299999999975
347,0.908,0.03699999999999998,22.67278101537243,7.78324789956886e-06,0.007263561025272336,0.0019883,0.9284010471634565,0.9278401064956839,0.038988299999999976
348,0.908,0.03799999999999998,23.209350265089878,8.059630031952855e-06,0.007659730939620384,0.0019883,0.929502373733261,0.9242022389091308,0.03998829999999998
349,0.908,0.03899999999999998,23.482359503452386,8.203445230004495e-06,0.007873771000933505,0.0019883,0.9299774692137809,0.9219801712218698,0.04098829999999998
350,0.908,0.03999999999999997,23.75218192008751,8.347509735955417e-06,0.008099152725351453,0.0019883,0.9304840203380538,0.9194527591963985,0.04198829999999997
351,0.908,0.040999999999999974,24.012220580817054,8.487927674370535e-06,0.008334520134642713,0.0019883,0.9310882634995713,0.9166465990697454,0.04298829999999997
352,0.908,0.041999999999999975,24.312044084101398,8.651076864578756e-06,0.00848863201098388,0.0019883,0.930747828286128,0.9186468757351772,0.04398829999999997
353,0.908,0.042999999999999976,24.812405016287624,8.928082672341535e-06,0.008948638731366327,0.0019883,0.9318402320215241,0.9143050026346601,0.044988299999999974
354,0.908,0.04399999999999998,25.073543553334968,9.075166231383165e-06,0.009163141728424092,0.0019883,0.9321029464465801,0.9135884344871258,0.045988299999999975
355,0.908,0.04499999999999997,25.334367640249408,9.223086370668755e-06,0.009354966268635483,0.0019883,0.9322264667501415,0.9140020647239916,0.04698829999999997
356,0.908,0.04599999999999997,25.792502900509085,9.486358432797815e-06,0.009809177946539396,0.0019883,0.9332717566337175,0.9107951723775937,0.04798829999999997
357,0.908,0.04699999999999997,26.03311084665443,9.627313794914425e-06,0.010031033074580835,0.0019883,0.9335742398002976,0.9099997147148332,0.04898829999999997
358,0.908,0.047999999999999966,26.513106503767755,9.912837251790087e-06,0.010463363358037759,0.0019883,0.9340100763981545,0.9092500204697531,0.049988299999999965
359,0.908,0.04899999999999997,30.254748882922815,1.3735142258375628e-05,0.012734771266479261,0.0043148,0.96668853916239,0.9084609986484304,0.05331479999999997
360,0.909,0.01,13.379586345528399,4.394074368307124e-06,0.0033386169143680374,0.0028484,0.9688432182344582,0.9787760118647355,0.0128484
361,0.909,0.011,14.031818883476717,4.636762944573607e-06,0.003298267841772142,0.0028484,0.9609279096296571,0.9817069032379813,0.0138484
362,0.909,0.011999999999999999,14.379112320461317,4.767438155065803e-06,0.003451648393704613,0.0028484,0.9626301123274507,0.9766359141457521,0.014848399999999998
363,0.909,0.012999999999999998,15.022082581895585,5.012110393756075e-06,0.0034189981506227464,0.0028484,0.955492053297844,0.9797517170062728,0.0158484
364,0.909,0.013999999999999997,15.87406390865404,5.341693519598116e-06,0.0036228176760949335,0.0028484,0.9551778894357867,0.9782165256530232,0.016848399999999996
365,0.909,0.014999999999999996,16.356203748576533,5.529657900997321e-06,0.0036560041641895066,0.0028484,0.9527475617787137,0.9806548133259199,0.017848399999999997
366,0.909,0.015999999999999993,16.701955651370376,5.6662268721872935e-06,0.00377678885276301,0.0028484,0.9537739239910008,0.9772853748376463,0.018848399999999994
367,0.909,0.016999999999999994,17.09798512138215,5.825328144391394e-06,0.00386889284907065,0.0028484,0.953471132385366,0.9768541712556255,0.019848399999999995
368,0.909,0.017999999999999995,17.925167211302654,6.1646575638765935e-06,0.00404798851281294,0.0028484,0.9519826953447572,0.9759568875469974,0.020848399999999996
369,0.909,0.018999999999999993,18.306202333695403,6.323429216427377e-06,0.004144970784022706,0.0028484,0.9517066201456694,0.975056876911583,0.021848399999999994
370,0.909,0.01999999999999999,18.649477249703036,6.468187635887073e-06,0.004267340819757298,0.0028484,0.9520761254837007,0.9721116927171721,0.02284839999999999
371,0.909,0.02099999999999999,19.006466400432934,6.62084149827756e-06,0.00437627112274364,0.0028484,0.952010925679813,0.97074000784211,0.023848399999999992
372,0.909,0.021999999999999992,19.64457101042961,6.899856633026041e-06,0.0046428365299773225,0.0028484,0.9529691484105928,0.9647027778843534,0.024848399999999993
373,0.909,0.02299999999999999,17.708510783010055,5.5376457497310834e-06,0.004494807101972966,0.0019883,0.9094389429033206,0.964666517980632,0.02498829999999999
374,0.909,0.023999999999999987,18.074003490542047,5.686021276478326e-06,0.004603649312200827,0.0019883,0.9102238376043852,0.9639254928141149,0.025988299999999985
375,0.909,0.024999999999999988,18.387918597096412,5.815171180306475e-06,0.004755297059695356,0.0019883,0.9121639517273534,0.9593801233906969,0.026988299999999986
376,0.909,0.02599999999999999,18.690287433352246,5.941335662917026e-06,0.004913271714519628,0.0019883,0.9140958384453689,0.9549644227787578,0.027988299999999987
377,0.909,0.02699999999999999,19.309773550661294,6.205356321979953e-06,0.005203283743310185,0.0019883,0.9168296354938297,0.9504967942602078,0.028988299999999988
378,0.909,0.027999999999999983,19.618375827582877,6.33982201464898e-06,0.005351315374764654,0.0019883,0.9180061267286443,0.948552675573357,0.02998829999999998
379,0.909,0.028999999999999984,19.906869089081376,6.467332739494671e-06,0.005525043185006137,0.0019883,0.9194918052941558,0.9446317107330254,0.030988299999999983
380,0.909,0.029999999999999985,20.176267038854707,6.588004311673316e-06,0.005714171010433237,0.0019883,0.9211807428768867,0.9398868311662588,0.03198829999999998
381,0.909,0.030999999999999986,20.725264433568537,6.838663955519549e-06,0.00605442976782703,0.0019883,0.9236652113344532,0.9357340052915558,0.032988299999999984
